"filename", "language", "Markdown", "YAML", "JSON", "JavaScript", "CSS", "HTML", "XML", "Database", "comment", "blank", "total"
"/Users/davideandriano/Documents/GitHub/EzWh/code/client/src/NewClientForm.css", "CSS", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"/Users/davideandriano/Documents/GitHub/EzWh/code/client/src/NewEditItem.js", "JavaScript", 0, 0, 0, 214, 0, 0, 0, 0, 0, 20, 234
"/Users/davideandriano/Documents/GitHub/EzWh/code/client/src/NewEditSKU.js", "JavaScript", 0, 0, 0, 253, 0, 0, 0, 0, 0, 16, 269
"/Users/davideandriano/Documents/GitHub/EzWh/code/client/src/NewEditTestDescriptor.js", "JavaScript", 0, 0, 0, 212, 0, 0, 0, 0, 0, 17, 229
"/Users/davideandriano/Documents/GitHub/EzWh/code/client/src/NewInternalOrder.js", "JavaScript", 0, 0, 0, 192, 0, 0, 0, 0, 1, 31, 224
"/Users/davideandriano/Documents/GitHub/EzWh/code/client/src/NewPosition.js", "JavaScript", 0, 0, 0, 318, 0, 0, 0, 0, 0, 15, 333
"/Users/davideandriano/Documents/GitHub/EzWh/code/client/src/NewRestockOrder.js", "JavaScript", 0, 0, 0, 282, 0, 0, 0, 0, 2, 37, 321
"/Users/davideandriano/Documents/GitHub/EzWh/code/client/src/NewReturnOrder.js", "JavaScript", 0, 0, 0, 189, 0, 0, 0, 0, 0, 32, 221
"/Users/davideandriano/Documents/GitHub/EzWh/code/client/src/NewUserForm.js", "JavaScript", 0, 0, 0, 164, 0, 0, 0, 0, 0, 13, 177
"/Users/davideandriano/Documents/GitHub/EzWh/code/client/src/QualityEmployee.js", "JavaScript", 0, 0, 0, 22, 0, 0, 0, 0, 0, 8, 30
"/Users/davideandriano/Documents/GitHub/EzWh/code/client/src/ShowItem.js", "JavaScript", 0, 0, 0, 92, 0, 0, 0, 0, 0, 11, 103
"/Users/davideandriano/Documents/GitHub/EzWh/code/client/src/StockRO.js", "JavaScript", 0, 0, 0, 117, 0, 0, 0, 0, 0, 12, 129
"/Users/davideandriano/Documents/GitHub/EzWh/code/client/src/Supplier.js", "JavaScript", 0, 0, 0, 41, 0, 0, 0, 0, 0, 7, 48
"/Users/davideandriano/Documents/GitHub/EzWh/code/client/src/TestRO.js", "JavaScript", 0, 0, 0, 187, 0, 0, 0, 0, 0, 24, 211
"/Users/davideandriano/Documents/GitHub/EzWh/code/client/src/index.css", "CSS", 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"/Users/davideandriano/Documents/GitHub/EzWh/code/client/src/index.js", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 0, 3, 3, 18
"/Users/davideandriano/Documents/GitHub/EzWh/code/client/src/logo.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/davideandriano/Documents/GitHub/EzWh/code/client/src/reportWebVitals.js", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"/Users/davideandriano/Documents/GitHub/EzWh/code/client/src/setupTests.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 4, 1, 6
"/Users/davideandriano/Documents/GitHub/EzWh/code/package-lock.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/davideandriano/Documents/GitHub/EzWh/code/server/EZWH.db", "Database", 0, 0, 0, 0, 0, 0, 0, 38, 0, 3, 41
"/Users/davideandriano/Documents/GitHub/EzWh/code/server/README.md", "Markdown", 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/davideandriano/Documents/GitHub/EzWh/code/server/acceptanceTest/crud/test-CRUD-InternalOrder.js", "JavaScript", 0, 0, 0, 47, 0, 0, 0, 0, 0, 12, 59
"/Users/davideandriano/Documents/GitHub/EzWh/code/server/acceptanceTest/crud/test-CRUD-Item.js", "JavaScript", 0, 0, 0, 52, 0, 0, 0, 0, 0, 12, 64
"/Users/davideandriano/Documents/GitHub/EzWh/code/server/acceptanceTest/crud/test-CRUD-Position.js", "JavaScript", 0, 0, 0, 54, 0, 0, 0, 0, 5, 11, 70
"/Users/davideandriano/Documents/GitHub/EzWh/code/server/acceptanceTest/crud/test-CRUD-RestockOrder.js", "JavaScript", 0, 0, 0, 75, 0, 0, 0, 0, 0, 17, 92
"/Users/davideandriano/Documents/GitHub/EzWh/code/server/acceptanceTest/crud/test-CRUD-ReturnOrder.js", "JavaScript", 0, 0, 0, 77, 0, 0, 0, 0, 0, 16, 93
"/Users/davideandriano/Documents/GitHub/EzWh/code/server/acceptanceTest/crud/test-CRUD-SKUitems.js", "JavaScript", 0, 0, 0, 53, 0, 0, 0, 0, 4, 10, 67
"/Users/davideandriano/Documents/GitHub/EzWh/code/server/acceptanceTest/crud/test-CRUD-SKUs.js", "JavaScript", 0, 0, 0, 46, 0, 0, 0, 0, 0, 8, 54
"/Users/davideandriano/Documents/GitHub/EzWh/code/server/acceptanceTest/crud/test-CRUD-TestDescriptor.js", "JavaScript", 0, 0, 0, 56, 0, 0, 0, 0, 5, 8, 69
"/Users/davideandriano/Documents/GitHub/EzWh/code/server/acceptanceTest/crud/test-CRUD-TestResult.js", "JavaScript", 0, 0, 0, 62, 0, 0, 0, 0, 4, 11, 77
"/Users/davideandriano/Documents/GitHub/EzWh/code/server/acceptanceTest/crud/test-CRUD-User.js", "JavaScript", 0, 0, 0, 23, 0, 0, 0, 0, 0, 4, 27
"/Users/davideandriano/Documents/GitHub/EzWh/code/server/acceptanceTest/testEzWhAPI.js", "JavaScript", 0, 0, 0, 154, 0, 0, 0, 0, 0, 20, 174
"/Users/davideandriano/Documents/GitHub/EzWh/code/server/acceptanceTest/utils-id.js", "JavaScript", 0, 0, 0, 81, 0, 0, 0, 0, 0, 20, 101
"/Users/davideandriano/Documents/GitHub/EzWh/code/server/acceptanceTest/utils-internalorder.js", "JavaScript", 0, 0, 0, 141, 0, 0, 0, 0, 8, 17, 166
"/Users/davideandriano/Documents/GitHub/EzWh/code/server/acceptanceTest/utils-items.js", "JavaScript", 0, 0, 0, 149, 0, 0, 0, 0, 4, 18, 171
"/Users/davideandriano/Documents/GitHub/EzWh/code/server/acceptanceTest/utils-positions.js", "JavaScript", 0, 0, 0, 99, 0, 0, 0, 0, 6, 11, 116
"/Users/davideandriano/Documents/GitHub/EzWh/code/server/acceptanceTest/utils-restockorder.js", "JavaScript", 0, 0, 0, 263, 0, 0, 0, 0, 8, 25, 296
"/Users/davideandriano/Documents/GitHub/EzWh/code/server/acceptanceTest/utils-returnorder.js", "JavaScript", 0, 0, 0, 129, 0, 0, 0, 0, 16, 15, 160
"/Users/davideandriano/Documents/GitHub/EzWh/code/server/acceptanceTest/utils-sku.js", "JavaScript", 0, 0, 0, 189, 0, 0, 0, 0, 6, 21, 216
"/Users/davideandriano/Documents/GitHub/EzWh/code/server/acceptanceTest/utils-skuitems.js", "JavaScript", 0, 0, 0, 167, 0, 0, 0, 0, 29, 20, 216
"/Users/davideandriano/Documents/GitHub/EzWh/code/server/acceptanceTest/utils-testdescriptor.js", "JavaScript", 0, 0, 0, 187, 0, 0, 0, 0, 7, 16, 210
"/Users/davideandriano/Documents/GitHub/EzWh/code/server/acceptanceTest/utils-testresult.js", "JavaScript", 0, 0, 0, 183, 0, 0, 0, 0, 9, 19, 211
"/Users/davideandriano/Documents/GitHub/EzWh/code/server/acceptanceTest/utils-users.js", "JavaScript", 0, 0, 0, 128, 0, 0, 0, 0, 18, 25, 171
"/Users/davideandriano/Documents/GitHub/EzWh/code/server/mochawesome-report/assets/app.css", "CSS", 0, 0, 0, 0, 13, 0, 0, 0, 1, 1, 15
"/Users/davideandriano/Documents/GitHub/EzWh/code/server/mochawesome-report/assets/app.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 2
"/Users/davideandriano/Documents/GitHub/EzWh/code/server/mochawesome-report/mochawesome.html", "HTML", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
"/Users/davideandriano/Documents/GitHub/EzWh/code/server/mochawesome-report/mochawesome.json", "JSON", 0, 0, 20759, 0, 0, 0, 0, 0, 0, 0, 20759
"/Users/davideandriano/Documents/GitHub/EzWh/code/server/modules/Controller/InternalOrderController.js", "JavaScript", 0, 0, 0, 290, 0, 0, 0, 0, 14, 54, 358
"/Users/davideandriano/Documents/GitHub/EzWh/code/server/modules/Controller/ItemController.js", "JavaScript", 0, 0, 0, 123, 0, 0, 0, 0, 0, 11, 134
"/Users/davideandriano/Documents/GitHub/EzWh/code/server/modules/Controller/PositionController.js", "JavaScript", 0, 0, 0, 145, 0, 0, 0, 0, 0, 10, 155
"/Users/davideandriano/Documents/GitHub/EzWh/code/server/modules/Controller/RestockOrderController.js", "JavaScript", 0, 0, 0, 307, 0, 0, 0, 0, 53, 56, 416
"/Users/davideandriano/Documents/GitHub/EzWh/code/server/modules/Controller/ReturnOrderController.js", "JavaScript", 0, 0, 0, 115, 0, 0, 0, 0, 5, 46, 166
"/Users/davideandriano/Documents/GitHub/EzWh/code/server/modules/Controller/SKUController.js", "JavaScript", 0, 0, 0, 229, 0, 0, 0, 0, 1, 19, 249
"/Users/davideandriano/Documents/GitHub/EzWh/code/server/modules/Controller/SKUItemsController.js", "JavaScript", 0, 0, 0, 136, 0, 0, 0, 0, 7, 10, 153
